,am_score,bpe_lm_score,diff_config,diffusion_score,first_pass_length_penalty,first_pass_score,ngram_lm_score,ngram_lm_score_non_oov,ngram_lm_score_oov,second_pass_score,wer
2393,-0.8810868209316528,1.807333129782507,e330_euler50_n10,0.0006478181992877882,0.0,-0.8535296700545194,-1.1439454771231807,-0.21275857918011573,-0.8326219658515598,0.0,0.10100561142285683
2335,-0.6494452322256206,1.558614632445804,e330_rk45_n10,0.0063884839823644245,0.0,-0.6471411628840242,-1.6663341720375229,-0.1061581311020515,-0.8747451355529892,0.0,0.1010611700650036
2229,-0.8543311728808483,1.13916099448937,e330_rk45_n10,0.008519556453163156,0.0,-0.8523915521616997,-1.5777997916046007,-0.9292195716518358,-0.8933983773693273,0.0,0.1010611700650036
5994,-0.6079697155622847,1.9593389296023511,e330_euler10_n10,0.0,-2.5596278920772875,0.0,-1.98024294195332,-0.5312251593224393,-0.5603417242836826,0.0,0.1010611700650036
2941,-0.3985186427878008,1.1703027804299093,e330_euler10_n10,0.0015787917348271542,-2.3939928899992027,-0.5957401067224594,-0.7460208289674523,-0.0005150523576167446,-0.6188288408157887,0.0,0.1011167287071504
2058,-0.5858958541440286,1.4405819633565295,e330_euler50_n10,0.005418886850767145,0.0,-0.8268702507019521,-1.3970807186875285,-0.016618268877981957,-0.8647484658407256,0.0,0.1011167287071504
5513,-0.781479093823983,1.8632632723255178,e330_euler10_n10,0.002800581060405652,-0.9813583848721188,-1.8808782840056157,-0.012380449194014709,-0.9250443298054958,-0.3504984090496193,-1.8103208459962348,0.1011167287071504
2394,-0.5969037206565151,1.396186389861955,e330_rk45_n10,0.008651526700177707,0.0,-1.0861508495471894,-1.859737974170704,-0.05103809490473785,-0.013638337390611096,0.0,0.1011167287071504
5086,-0.1791291218297773,0.16073394299530164,e330_euler10_n10,0.002629677274548573,-2.913329961918508,-0.1535951100668468,-1.890731913786717,-0.6793215293881056,-0.331654308333938,-0.9660479052117538,0.1011167287071504
2117,-0.680415942941914,1.5555213581682963,e330_rk45_n10,0.006744716475712282,0.0,-0.7062810909959443,-1.678274127305788,-0.11225529011374595,-0.2765111071870627,0.0,0.1011167287071504
4930,-0.6803634599626012,1.3155781338648584,e330_euler10_n10,0.00235404600846645,-2.941191215754826,-0.24414181518382894,-0.2967461999610572,-0.5413593695290313,-0.17732112402565894,-1.0333691030510246,0.1011167287071504
4994,-0.781479093823983,1.8632632723255178,e330_euler10_n10,0.002800581060405652,-0.9813583848721188,-1.8808782840056157,-0.012380449194014709,-0.9250443298054958,-0.3504984090496193,-1.8103208459962348,0.1011167287071504
1983,-0.781479093823983,1.8632632723255178,e330_euler10_n10,0.002800581060405652,-0.9813583848721188,-1.8808782840056157,-0.012380449194014709,-0.9250443298054958,-0.3504984090496193,-1.8103208459962348,0.1011167287071504
2128,-0.6657193014300214,1.4217404016045743,e330_rk45_n10,0.007205743033099068,0.0,-0.6711957223284695,-1.7534835751111597,-0.10069141718629472,-0.2028571252121704,0.0,0.10117228734929719
2354,-0.5118154435710364,1.4570774309304537,e330_euler50_n10,0.007183481737291776,0.0,-0.7945908397251474,-1.766479654048335,-0.21469410389970114,-0.8526875147421792,0.0,0.10117228734929719
2173,-0.6209620478350968,1.433606886888465,e330_rk45_n10,0.007217025535705966,0.0,-0.6575631696212458,-1.7577199833551782,-0.08498085246017212,-0.9444077902019296,0.0,0.10117228734929719
872,-0.9806330421297029,1.678835532939891,e330_rk45_n10,0.001474719477841015,-2.128604086799841,0.0,-1.542352015318325,-0.42588239450798693,-0.9466374548829196,0.0,0.10117228734929719
